,RMSE,MAE,MSE,R2
RNN,2.608756692501715,0.21490122757651997,6.805611480672489,0.9721456860166012
LSTM,2.6344297856408305,0.30131081788722536,6.940220295471591,0.9715947529809739
BiLSTM,2.6355754289327176,0.2551424758522856,6.946257841593877,0.9715700422395721
GRU,2.6271233384634423,0.31292124087154155,6.901777035499301,0.9717520952913385
Hybrid RNN-LSTM,2.5774016484266977,0.24707446397431107,6.64299925731266,0.9728112326673124
Hybrid RNN-BiLSTM,2.619852157436617,0.22168226113352535,6.863625326825297,0.9719082443273843
Hybrid RNN-GRU,2.6308841114900123,0.2100316323617435,6.921551208090593,0.9716711626648311
Hybrid LSTM-BiLSTM,2.722501187260817,0.31403824069143477,7.412012714636559,0.9696637796634799
Hybrid LSTM-GRU,2.655168890725527,0.2057317647490817,7.049921838276624,0.9711457615528806
Hybrid BiLSTM-GRU,2.831993110415812,0.37151212113014825,8.020184977442625,0.9671746247635413
