,RMSE,MAE,MSE,R2
RNN,2.2364629896944903,0.12450569878696956,5.001766704273218,0.9875002342533006
LSTM,2.8154149738860883,0.38861723932662445,7.926561475182004,0.9801909670173263
BiLSTM,2.8172781950844374,0.43879660690281513,7.937056428498226,0.9801647393930225
GRU,2.2386289008193194,0.12947245684709077,5.011459355583514,0.9874760116379716
Hybrid RNN-LSTM c2,2.7357257369259473,0.2275580764575951,7.484195307679018,0.9812964710911826
Hybrid RNN-BiLSTM c2,12.46128106948045,2.7178260899950035,155.2835258925918,0.61193557941824
Hybrid RNN-GRU c2,2.2690395321127315,0.16824945156341664,5.148540398290363,0.987133436499334
Hybrid LSTM-BiLSTM c2,5.817611011708132,1.3854271209728706,33.844597883547706,0.9154199765106686
Hybrid LSTM-GRU c2,3.349953271294666,0.3926173101343783,11.222186919857835,0.9719549679228233
Hybrid BiLSTM-GRU c2,3.5663772989803424,0.5052233512766644,12.719047038682323,0.9682142095174188
