,RMSE,MAE,MSE,R2
RNN,0.3785821035485567,0.11752106629103833,0.1433244091272501,0.982923630601805
LSTM,0.3950616264850884,0.12060791469346538,0.1560736887210435,0.9814046192259325
BiLSTM,0.8977232486867712,0.5546792489567735,0.8059070312327304,0.903980304194282
GRU,0.4001653606345736,0.10501516579181107,0.16013231585179832,0.9809210545871083
Hybrid RNN-LSTM c2,0.3684534122571559,0.10432035386756267,0.13575791700394166,0.983825139391082
Hybrid RNN-BiLSTM c2,0.48549340612194813,0.30085656516673387,0.23570384738789088,0.9719170935984961
Hybrid RNN-GRU c2,0.4873510565758239,0.2903618430047563,0.2375110523455719,0.9717017743822961
Hybrid LSTM-BiLSTM c2,1.3740668198114427,0.8353370290711377,1.8880596253067319,0.7750473642006768
Hybrid LSTM-GRU c2,0.4033796906588226,0.13138154143366823,0.16271517483600742,0.9806133201656907
Hybrid BiLSTM-GRU c2,0.4327899634721188,0.1880696865870289,0.1873071524821979,0.9776833119620939
